,Store LocationKey,Month,Year,PizzaSizeKey,DoughKey,CheeseTypeKey,ToppingKey,Qunatity,ProfitKey
0,2.0,5.0,2017.0,4.0,0.0,1.0,0.0,120.0,646.5
1,4.0,12.0,2018.0,2.0,0.0,0.0,2.0,20.0,100.5
2,4.0,12.0,2019.0,2.0,2.0,2.0,2.0,140.0,378.0
3,3.0,5.0,2018.0,1.0,0.0,0.0,3.0,20.0,111.0
4,4.0,6.0,2016.0,2.0,0.0,0.0,1.0,80.0,472.5
5,0.0,1.0,2015.0,1.0,2.0,1.0,0.0,160.0,372.0
6,1.0,3.0,2017.0,4.0,1.0,2.0,0.0,180.0,871.5
7,4.0,1.0,2019.0,0.0,2.0,2.0,1.0,80.0,445.5
8,0.0,2.0,2019.0,4.0,0.0,1.0,3.0,120.0,631.5
9,2.0,3.0,2017.0,2.0,0.0,2.0,2.0,180.0,615.0
10,0.0,12.0,2017.0,3.0,0.0,1.0,2.0,20.0,93.0
11,2.0,9.0,2016.0,2.0,2.0,1.0,2.0,100.0,456.0
12,0.0,10.0,2019.0,1.0,1.0,1.0,3.0,160.0,352.5
13,1.0,2.0,2016.0,2.0,2.0,0.0,2.0,20.0,114.0
14,2.0,1.0,2015.0,0.0,1.0,0.0,0.0,60.0,207.0
15,3.0,12.0,2015.0,4.0,0.0,0.0,3.0,120.0,480.0
16,4.0,9.0,2019.0,3.0,2.0,1.0,3.0,40.0,165.0
17,0.0,12.0,2019.0,1.0,2.0,2.0,2.0,100.0,522.0
18,3.0,9.0,2019.0,0.0,2.0,1.0,2.0,60.0,355.5
19,1.0,7.0,2016.0,1.0,2.0,2.0,3.0,80.0,366.0
20,0.0,1.0,2016.0,0.0,2.0,1.0,3.0,60.0,132.0
21,2.0,5.0,2015.0,1.0,2.0,2.0,0.0,100.0,552.0
22,4.0,2.0,2018.0,1.0,2.0,2.0,0.0,100.0,391.5
23,4.0,5.0,2017.0,3.0,2.0,1.0,3.0,60.0,163.5
24,1.0,6.0,2017.0,0.0,0.0,1.0,0.0,160.0,627.0
25,3.0,7.0,2017.0,1.0,0.0,0.0,2.0,180.0,901.5
26,3.0,10.0,2016.0,1.0,1.0,2.0,3.0,40.0,144.0
27,1.0,3.0,2015.0,3.0,2.0,2.0,2.0,140.0,460.5
28,0.0,12.0,2016.0,1.0,0.0,2.0,3.0,60.0,349.5
29,4.0,8.0,2015.0,4.0,2.0,2.0,3.0,60.0,300.0
30,0.0,12.0,2015.0,2.0,1.0,0.0,1.0,20.0,52.5
31,4.0,3.0,2017.0,0.0,1.0,1.0,0.0,60.0,295.5
32,3.0,4.0,2016.0,0.0,1.0,2.0,2.0,100.0,321.0
33,2.0,8.0,2016.0,0.0,2.0,0.0,1.0,120.0,654.0
34,3.0,6.0,2017.0,1.0,0.0,0.0,1.0,140.0,411.0
35,0.0,1.0,2018.0,0.0,0.0,0.0,1.0,160.0,555.0
36,4.0,2.0,2016.0,1.0,1.0,1.0,0.0,180.0,697.5
37,0.0,12.0,2019.0,4.0,2.0,0.0,3.0,80.0,261.0
38,4.0,7.0,2016.0,0.0,1.0,1.0,3.0,160.0,366.0
39,2.0,3.0,2018.0,0.0,0.0,1.0,0.0,20.0,105.0
40,2.0,7.0,2018.0,3.0,1.0,0.0,1.0,20.0,63.0
41,3.0,2.0,2019.0,1.0,0.0,0.0,0.0,20.0,31.5
42,4.0,3.0,2017.0,0.0,2.0,1.0,2.0,80.0,334.5
43,0.0,6.0,2019.0,0.0,0.0,0.0,1.0,140.0,804.0
44,2.0,1.0,2018.0,1.0,1.0,0.0,2.0,40.0,127.5
45,2.0,3.0,2016.0,3.0,2.0,2.0,1.0,160.0,637.5
46,4.0,3.0,2015.0,3.0,2.0,2.0,1.0,180.0,961.5
47,0.0,8.0,2015.0,4.0,1.0,2.0,3.0,140.0,237.0
48,4.0,8.0,2018.0,3.0,0.0,1.0,2.0,180.0,823.5
49,1.0,4.0,2017.0,3.0,0.0,2.0,1.0,100.0,318.0
50,4.0,3.0,2019.0,4.0,2.0,2.0,3.0,20.0,75.0
51,4.0,1.0,2015.0,2.0,2.0,0.0,3.0,40.0,183.0
52,0.0,3.0,2019.0,2.0,0.0,0.0,2.0,180.0,597.0
53,4.0,5.0,2015.0,2.0,2.0,0.0,0.0,160.0,358.5
54,4.0,8.0,2019.0,0.0,2.0,2.0,3.0,20.0,109.5
55,2.0,5.0,2018.0,1.0,1.0,2.0,2.0,40.0,187.5
56,2.0,5.0,2016.0,1.0,0.0,1.0,1.0,120.0,433.5
57,0.0,7.0,2016.0,1.0,2.0,1.0,1.0,180.0,790.5
58,3.0,2.0,2016.0,4.0,0.0,0.0,2.0,60.0,295.5
59,0.0,9.0,2015.0,1.0,2.0,0.0,2.0,80.0,376.5
60,0.0,3.0,2018.0,4.0,2.0,1.0,1.0,40.0,160.5
61,4.0,4.0,2017.0,4.0,2.0,0.0,1.0,20.0,91.5
62,2.0,12.0,2017.0,4.0,2.0,0.0,1.0,20.0,79.5
63,3.0,3.0,2019.0,4.0,0.0,2.0,2.0,180.0,807.0
64,2.0,12.0,2019.0,0.0,0.0,0.0,2.0,140.0,238.5
65,1.0,9.0,2019.0,0.0,1.0,0.0,0.0,120.0,564.0
66,0.0,3.0,2016.0,4.0,0.0,0.0,2.0,80.0,387.0
67,0.0,9.0,2019.0,3.0,2.0,0.0,1.0,140.0,717.0
68,3.0,7.0,2017.0,4.0,2.0,1.0,0.0,160.0,334.5
69,2.0,2.0,2018.0,3.0,0.0,1.0,3.0,40.0,129.0
70,1.0,5.0,2019.0,4.0,2.0,1.0,1.0,20.0,103.5
71,0.0,9.0,2018.0,0.0,0.0,2.0,3.0,100.0,342.0
72,1.0,3.0,2015.0,1.0,0.0,0.0,3.0,60.0,114.0
73,1.0,1.0,2015.0,4.0,0.0,0.0,3.0,60.0,277.5
74,1.0,8.0,2016.0,2.0,2.0,2.0,1.0,120.0,400.5
75,0.0,12.0,2016.0,0.0,0.0,2.0,1.0,40.0,103.5
76,0.0,7.0,2016.0,4.0,2.0,0.0,1.0,60.0,270.0
77,2.0,3.0,2017.0,2.0,0.0,0.0,1.0,100.0,355.5
78,3.0,6.0,2015.0,2.0,2.0,2.0,2.0,80.0,135.0
79,0.0,7.0,2019.0,1.0,0.0,0.0,0.0,40.0,225.0
80,2.0,11.0,2015.0,0.0,1.0,0.0,1.0,140.0,255.0
81,3.0,12.0,2016.0,2.0,0.0,0.0,1.0,20.0,69.0
82,3.0,10.0,2017.0,4.0,0.0,2.0,0.0,40.0,237.0
83,3.0,5.0,2017.0,1.0,1.0,1.0,0.0,120.0,391.5
84,3.0,1.0,2015.0,4.0,2.0,0.0,2.0,180.0,817.5
85,4.0,6.0,2018.0,4.0,2.0,1.0,2.0,80.0,123.0
86,4.0,1.0,2018.0,2.0,0.0,2.0,2.0,140.0,820.5
87,1.0,6.0,2015.0,2.0,2.0,1.0,3.0,180.0,975.0
88,3.0,3.0,2016.0,4.0,0.0,1.0,0.0,120.0,304.5
89,4.0,12.0,2018.0,1.0,2.0,2.0,3.0,20.0,87.0
90,3.0,10.0,2019.0,2.0,2.0,2.0,1.0,40.0,75.0
91,4.0,12.0,2017.0,0.0,2.0,2.0,0.0,20.0,90.0
92,0.0,8.0,2016.0,1.0,1.0,1.0,0.0,60.0,324.0
93,2.0,6.0,2015.0,2.0,0.0,2.0,0.0,180.0,423.0
94,4.0,1.0,2015.0,1.0,0.0,1.0,0.0,140.0,759.0
95,4.0,9.0,2017.0,3.0,2.0,1.0,0.0,100.0,333.0
96,1.0,11.0,2016.0,0.0,1.0,0.0,1.0,20.0,31.5
97,3.0,4.0,2018.0,2.0,2.0,0.0,0.0,120.0,397.5
98,0.0,9.0,2016.0,3.0,1.0,1.0,2.0,60.0,136.5
99,1.0,7.0,2018.0,4.0,2.0,2.0,2.0,120.0,265.5
100,0.0,4.0,2015.0,1.0,1.0,0.0,0.0,60.0,246.0
101,4.0,8.0,2016.0,0.0,0.0,0.0,3.0,20.0,115.5
102,0.0,3.0,2016.0,0.0,0.0,0.0,1.0,60.0,324.0
103,2.0,8.0,2017.0,2.0,0.0,0.0,2.0,20.0,90.0
104,1.0,7.0,2015.0,1.0,1.0,0.0,3.0,160.0,723.0
105,1.0,11.0,2019.0,1.0,1.0,1.0,2.0,20.0,112.5
106,0.0,11.0,2015.0,3.0,2.0,0.0,2.0,120.0,325.5
107,0.0,6.0,2019.0,4.0,2.0,2.0,3.0,40.0,172.5
108,0.0,6.0,2016.0,3.0,1.0,2.0,0.0,20.0,55.5
109,3.0,4.0,2016.0,0.0,1.0,0.0,1.0,60.0,268.5
110,0.0,8.0,2017.0,3.0,2.0,2.0,0.0,60.0,283.5
111,4.0,5.0,2017.0,0.0,2.0,1.0,2.0,60.0,315.0
112,4.0,12.0,2015.0,1.0,1.0,2.0,1.0,140.0,495.0
113,4.0,7.0,2019.0,2.0,2.0,0.0,0.0,80.0,217.5
114,1.0,1.0,2016.0,3.0,0.0,0.0,3.0,60.0,133.5
115,2.0,3.0,2016.0,3.0,0.0,1.0,1.0,120.0,216.0
116,0.0,12.0,2015.0,0.0,0.0,0.0,0.0,160.0,552.0
117,3.0,7.0,2016.0,0.0,2.0,0.0,2.0,60.0,156.0
118,0.0,3.0,2017.0,0.0,0.0,2.0,2.0,100.0,538.5
119,2.0,5.0,2017.0,1.0,1.0,2.0,1.0,180.0,480.0
120,0.0,8.0,2017.0,1.0,1.0,0.0,3.0,100.0,334.5
121,1.0,8.0,2019.0,0.0,2.0,0.0,1.0,20.0,64.5
122,0.0,2.0,2017.0,3.0,1.0,1.0,3.0,40.0,117.0
123,1.0,3.0,2015.0,1.0,2.0,1.0,2.0,40.0,178.5
124,0.0,3.0,2017.0,0.0,0.0,0.0,3.0,120.0,406.5
125,3.0,12.0,2019.0,1.0,1.0,1.0,1.0,100.0,268.5
126,1.0,3.0,2017.0,1.0,1.0,0.0,1.0,40.0,207.0
127,3.0,9.0,2018.0,0.0,1.0,0.0,0.0,40.0,114.0
128,3.0,6.0,2017.0,3.0,1.0,0.0,1.0,20.0,81.0
